-40.0,NaN,NaN,NaN,NaN
-39.9,NaN,NaN,NaN,NaN
-39.8,NaN,NaN,NaN,NaN
-39.7,NaN,NaN,NaN,NaN
-39.6,NaN,NaN,NaN,NaN
-39.5,NaN,NaN,NaN,NaN
-39.4,NaN,NaN,NaN,NaN
-39.3,NaN,NaN,NaN,NaN
-39.2,NaN,NaN,NaN,NaN
-39.1,NaN,NaN,NaN,NaN
-39.0,NaN,NaN,NaN,NaN
-38.9,NaN,NaN,NaN,NaN
-38.8,NaN,NaN,NaN,NaN
-38.7,NaN,NaN,NaN,NaN
-38.6,NaN,NaN,NaN,NaN
-38.5,NaN,NaN,NaN,NaN
-38.4,NaN,NaN,NaN,NaN
-38.3,NaN,NaN,NaN,NaN
-38.2,NaN,NaN,NaN,NaN
-38.1,NaN,NaN,NaN,NaN
-38.0,NaN,NaN,NaN,NaN
-37.9,NaN,NaN,NaN,NaN
-37.8,NaN,NaN,NaN,NaN
-37.7,NaN,NaN,NaN,NaN
-37.6,NaN,NaN,NaN,NaN
-37.5,NaN,NaN,NaN,NaN
-37.4,NaN,NaN,NaN,NaN
-37.3,NaN,NaN,NaN,NaN
-37.2,NaN,NaN,NaN,NaN
-37.1,NaN,NaN,NaN,NaN
-37.0,NaN,NaN,NaN,NaN
-36.9,NaN,NaN,NaN,NaN
-36.8,NaN,NaN,NaN,NaN
-36.7,NaN,NaN,NaN,NaN
-36.6,NaN,NaN,NaN,NaN
-36.5,NaN,NaN,NaN,NaN
-36.4,NaN,NaN,NaN,NaN
-36.3,NaN,NaN,NaN,NaN
-36.2,NaN,NaN,NaN,NaN
-36.1,NaN,NaN,NaN,NaN
-36.0,NaN,NaN,NaN,NaN
-35.9,NaN,NaN,NaN,NaN
-35.8,NaN,NaN,NaN,NaN
-35.7,NaN,NaN,NaN,NaN
-35.6,NaN,NaN,NaN,NaN
-35.5,NaN,NaN,NaN,NaN
-35.4,NaN,NaN,NaN,NaN
-35.3,NaN,NaN,NaN,NaN
-35.2,NaN,NaN,NaN,NaN
-35.1,NaN,NaN,NaN,NaN
-35.0,NaN,NaN,NaN,NaN
-34.9,NaN,NaN,NaN,NaN
-34.8,NaN,NaN,NaN,NaN
-34.7,NaN,NaN,NaN,NaN
-34.6,NaN,NaN,NaN,NaN
-34.5,NaN,NaN,NaN,NaN
-34.4,NaN,NaN,NaN,NaN
-34.3,NaN,NaN,NaN,NaN
